Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

18:49:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:49:04     all    0.06    0.00    0.21    0.00    0.00    0.02    0.00    0.00   99.71
18:49:04       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:49:04       5    0.99    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
18:49:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:49:04      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
