Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:23:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:23:44     all   48.81    0.00    1.48    0.02    0.00    0.12    0.00    0.00   49.56
17:23:44       0   75.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   24.00
17:23:44       1   73.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.26
17:23:44       2   73.27    0.00    0.99    0.00    0.00    0.00    0.00    0.00   25.74
17:23:44       3   73.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
17:23:44       4   74.26    0.00    0.99    0.00    0.00    0.00    0.00    0.00   24.75
17:23:44       5   74.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44       6   73.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.26
17:23:44       7   74.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      12   74.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   25.00
17:23:44      13   73.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.26
17:23:44      14   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      15   74.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      16   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      17   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      18   73.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
17:23:44      19   72.28    0.00    0.99    0.00    0.00    0.00    0.00    0.00   26.73
17:23:44      20    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00   98.00
17:23:44      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      24   72.28    0.00    5.94    0.00    0.00    0.99    0.00    0.00   20.79
17:23:44      25   74.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00   25.51
17:23:44      26   73.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.26
17:23:44      27   72.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   21.00
17:23:44      28   72.28    0.00    2.97    0.00    0.00    0.00    0.00    0.00   24.75
17:23:44      29   72.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00   21.00
17:23:44      30   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      31   72.73    0.00    5.05    0.00    0.00    0.00    0.00    0.00   22.22
17:23:44      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:44      36   73.74    0.00    6.06    0.00    0.00    0.00    0.00    0.00   20.20
17:23:44      37   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
17:23:44      38   73.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   26.00
