Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-6.local) 	04/19/20 	_x86_64_	(48 CPU)

06:41:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:41:06     all    0.04    0.00    0.17    0.00    0.00    0.00    0.00    0.00   99.79
06:41:06       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:41:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
06:41:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
06:41:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
06:41:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      39    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
06:41:06      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      44    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
06:41:06      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:06      47    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98

06:41:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:41:07     all    0.06    0.00    0.08    0.44    0.00    0.00    0.00    0.00   99.42
06:41:07       0    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00   96.91
06:41:07       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:41:07       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      16    0.00    0.00    0.00   21.00    0.00    0.00    0.00    0.00   79.00
06:41:07      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:41:07      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:41:07      39    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
