Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-6.local) 	04/19/20 	_x86_64_	(48 CPU)

05:02:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:02:44     all   19.45    0.00    0.44    0.00    0.00    0.02    0.00    0.00   80.10
05:02:44       0   70.71    0.00    2.02    0.00    0.00    0.00    0.00    0.00   27.27
05:02:44       1   53.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00   46.46
05:02:44       2   53.47    0.00    0.99    0.00    0.00    0.00    0.00    0.00   45.54
05:02:44       3   70.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   28.00
05:02:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:02:44      12   53.47    0.00    0.99    0.00    0.00    0.00    0.00    0.00   45.54
05:02:44      13   53.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00   46.46
05:02:44      14   53.47    0.00    0.99    0.00    0.00    0.00    0.00    0.00   45.54
05:02:44      15   53.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00   46.46
05:02:44      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      24   55.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00   44.44
05:02:44      25   55.56    0.00    1.01    0.00    0.00    0.00    0.00    0.00   43.43
05:02:44      26   54.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   45.00
05:02:44      27   54.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   45.00
05:02:44      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      36   71.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   26.00
05:02:44      37   54.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   45.00
05:02:44      38   54.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00   45.45
05:02:44      39   72.73    0.00    4.04    0.00    0.00    1.01    0.00    0.00   22.22
05:02:44      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:44      46    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:02:44      47    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00

05:02:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:02:45     all   33.26    0.00    0.08    0.00    0.00    0.00    0.00    0.00   66.65
05:02:45       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45       3   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      24  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      27  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:02:45      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:45      36  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
