Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

18:40:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:40:33     all    0.04    0.00    0.19    0.00    0.00    0.00    0.00    0.00   99.77
18:40:33       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:40:33       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       4    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
18:40:33       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:40:33       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:40:33      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
