Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-6.local) 	04/19/20 	_x86_64_	(48 CPU)

06:31:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:31:16     all    0.04    0.00    0.19    0.00    0.00    0.00    0.00    0.00   99.77
06:31:16       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
06:31:16       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      22    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
06:31:16      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      26    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.97
06:31:16      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      40    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   97.00
06:31:16      41    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
06:31:16      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:31:16      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
