Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

04:35:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:35:55     all    0.04    0.00    0.19    0.00    0.00    0.02    0.00    0.00   99.75
04:35:55       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:35:55       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      17    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:35:55      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      30    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
04:35:55      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      37    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00   96.97
04:35:55      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      41    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
04:35:55      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:55      47    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00   97.03

04:35:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:35:56     all    0.04    0.00    0.04    0.00    0.00    0.00    0.00    0.00   99.92
04:35:56       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      17    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
04:35:56      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:56      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
