"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_A_8.csv",,,,"Date:","10 Apr 2020 19:24:33 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.331,10488.766,0.0,0.0,0.0,0.0,3724.765,2765.714,1132765184.0,287334400.0,1090195456.0,65145139200.0
19.455,0.075,80.470,0.0,0.0,0.0,0.0,0.0,9272.0,14116.0,0.0,0.0,10356.0,4924.0,1164615680.0,287334400.0,1090199552.0,65113284608.0
20.005,0.050,79.920,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,10180.0,4163.0,1152159744.0,287334400.0,1090199552.0,65125740544.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,240.0,66.0,0.0,0.0,10178.0,4037.0,1152167936.0,287334400.0,1090199552.0,65125732352.0
19.815,0.100,79.610,0.475,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,10281.0,4441.0,1152167936.0,287334400.0,1090199552.0,65125732352.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,308.0,483.0,0.0,0.0,10128.0,3991.0,1152143360.0,287334400.0,1090199552.0,65125756928.0
20.030,0.050,79.920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10060.0,3872.0,1152020480.0,287334400.0,1090199552.0,65125879808.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,10050.0,3810.0,1152020480.0,287334400.0,1090199552.0,65125879808.0
20.020,0.025,79.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10373.0,4500.0,1151766528.0,287334400.0,1090199552.0,65126133760.0
20.015,0.050,79.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288.0,4262.0,1151717376.0,287334400.0,1090199552.0,65126182912.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10085.0,3941.0,1151717376.0,287334400.0,1090199552.0,65126182912.0
20.020,0.025,79.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10411.0,4541.0,1151717376.0,287334400.0,1090199552.0,65126182912.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10104.0,3961.0,1151516672.0,287334400.0,1090199552.0,65126383616.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10215.0,4136.0,1151516672.0,287334400.0,1090199552.0,65126383616.0
20.010,0.050,79.915,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,10076.0,3886.0,1151254528.0,287334400.0,1090199552.0,65126645760.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10055.0,3814.0,1151262720.0,287334400.0,1090199552.0,65126637568.0
20.005,0.075,79.920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10094.0,3949.0,1151270912.0,287334400.0,1090199552.0,65126629376.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10053.0,3820.0,1151270912.0,287334400.0,1090199552.0,65126629376.0
20.015,0.050,79.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10170.0,4111.0,1151270912.0,287334400.0,1090199552.0,65126629376.0
20.035,0.025,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10213.0,4129.0,1151270912.0,287334400.0,1090199552.0,65126629376.0
20.015,0.050,79.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10242.0,4237.0,1151016960.0,287334400.0,1090199552.0,65126883328.0
20.015,0.025,79.960,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10207.0,4133.0,1151016960.0,287334400.0,1090199552.0,65126883328.0
20.015,0.050,79.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10295.0,4349.0,1151016960.0,287334400.0,1090199552.0,65126883328.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10139.0,3980.0,1151016960.0,287334400.0,1090199552.0,65126883328.0
2.252,0.075,97.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3058.0,2503.0,1140834304.0,287334400.0,1090199552.0,65137065984.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,470.0,3054.0,0.0,0.0,2009.0,2153.0,1140310016.0,287334400.0,1090199552.0,65137590272.0
