"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_A_O3_2.csv",,,,"Date:","10 Apr 2020 23:16:10 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.583,0.095,93.306,0.015,0.000,0.001,115.156,10481.223,0.0,0.0,0.0,0.0,3724.435,2765.642,1056616448.0,287563776.0,1072394240.0,65238859776.0
4.901,0.050,95.049,0.0,0.0,0.0,0.0,0.0,140100.0,21470.0,0.0,0.0,4005.0,2821.0,1086222336.0,287563776.0,1072394240.0,65209253888.0
5.033,0.075,94.892,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,4343.0,3419.0,1085853696.0,287563776.0,1072525312.0,65209491456.0
4.833,0.050,95.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.0,4018.0,1085853696.0,287563776.0,1072525312.0,65209491456.0
4.454,0.050,95.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4060.0,3253.0,1085599744.0,287563776.0,1072525312.0,65209745408.0
4.702,0.025,95.273,0.0,0.0,0.0,0.0,0.0,683.0,573.0,0.0,0.0,3891.0,2624.0,1085472768.0,287563776.0,1072525312.0,65209872384.0
4.627,0.075,95.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3996.0,2959.0,1085472768.0,287563776.0,1072525312.0,65209872384.0
4.578,0.050,95.372,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,3968.0,2914.0,1085480960.0,287563776.0,1072525312.0,65209864192.0
5.008,0.075,94.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4292.0,3294.0,1085169664.0,287563776.0,1072525312.0,65210175488.0
4.856,0.050,95.094,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,3878.0,3144.0,1085169664.0,287563776.0,1072525312.0,65210175488.0
4.776,0.050,95.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2958.0,2481.0,1084989440.0,287563776.0,1072525312.0,65210355712.0
5.003,0.025,94.972,0.0,0.0,0.0,0.0,0.0,427.0,3770.0,0.0,0.0,3041.0,2387.0,1084989440.0,287563776.0,1072525312.0,65210355712.0
5.0,0.075,94.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0,2463.0,1084989440.0,287563776.0,1072525312.0,65210355712.0
5.001,0.050,94.949,0.0,0.0,0.0,0.0,0.0,68.0,483.0,0.0,0.0,3043.0,2389.0,1084985344.0,287563776.0,1072525312.0,65210359808.0
4.277,0.050,95.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,2545.0,1021886464.0,287563776.0,1072529408.0,65273454592.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,470.0,3050.0,0.0,0.0,1993.0,2160.0,1021882368.0,287563776.0,1072533504.0,65273454592.0
