"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_C_4.csv",,,,"Date:","10 Apr 2020 19:04:28 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.346,10490.087,0.0,0.0,0.0,0.0,3724.323,2765.624,1146040320.0,287334400.0,1090011136.0,65132048384.0
9.893,0.150,89.933,0.0,0.0,0.025,0.0,0.0,9282.0,13926.0,0.0,0.0,5140.0,2909.0,1369358336.0,287334400.0,1090015232.0,64908726272.0
8.229,0.125,91.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4518.0,2906.0,1491247104.0,287334400.0,1090015232.0,64786837504.0
9.455,0.200,90.320,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4931.0,2836.0,1793576960.0,287334400.0,1090015232.0,64484507648.0
9.952,0.100,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,3108.0,1942855680.0,287334400.0,1090015232.0,64335228928.0
8.502,0.050,91.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,4462.0,2704.0,1942855680.0,287334400.0,1090015232.0,64335228928.0
7.979,0.050,91.946,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4432.0,2913.0,1942802432.0,287334400.0,1090015232.0,64335282176.0
10.005,0.025,89.945,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5121.0,2928.0,1942810624.0,287334400.0,1090015232.0,64335273984.0
7.577,0.025,92.373,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4854.0,3186.0,1942683648.0,287334400.0,1090015232.0,64335400960.0
10.003,0.075,89.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454.0,2951.0,1942556672.0,287334400.0,1090015232.0,64335527936.0
7.402,0.050,92.523,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4201.0,2779.0,1942548480.0,287334400.0,1090015232.0,64335536128.0
10.008,0.025,89.967,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5085.0,2870.0,1942548480.0,287334400.0,1090015232.0,64335536128.0
8.027,0.050,91.898,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4390.0,2847.0,1942540288.0,287334400.0,1090015232.0,64335544320.0
9.600,0.075,90.300,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4931.0,2845.0,1942540288.0,287334400.0,1090015232.0,64335544320.0
9.177,0.050,90.748,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4897.0,2944.0,1942413312.0,287334400.0,1090015232.0,64335671296.0
8.352,0.050,91.573,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4461.0,2795.0,1942372352.0,287334400.0,1090015232.0,64335712256.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5168.0,3105.0,1942372352.0,287334400.0,1090015232.0,64335712256.0
7.531,0.025,92.444,0.0,0.0,0.0,0.0,0.0,683.0,573.0,0.0,0.0,4211.0,2859.0,1942380544.0,287334400.0,1090015232.0,64335704064.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5943.0,3537.0,1942380544.0,287334400.0,1090015232.0,64335704064.0
7.029,0.050,92.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.0,3231.0,1942380544.0,287334400.0,1090015232.0,64335704064.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.0,3037.0,1942253568.0,287334400.0,1090015232.0,64335831040.0
7.627,0.050,92.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173.0,2661.0,1942249472.0,287334400.0,1090015232.0,64335835136.0
9.802,0.050,90.123,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5015.0,2861.0,1942249472.0,287334400.0,1090015232.0,64335835136.0
8.877,0.075,91.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.0,2704.0,1942249472.0,287334400.0,1090015232.0,64335835136.0
8.679,0.050,91.246,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5248.0,3094.0,1942249472.0,287334400.0,1090015232.0,64335835136.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,6099.0,3094.0,1942249472.0,287334400.0,1090015232.0,64335835136.0
6.803,0.050,93.122,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4347.0,2815.0,1942122496.0,287334400.0,1090015232.0,64335962112.0
9.980,0.050,89.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.0,2860.0,1942122496.0,287334400.0,1090015232.0,64335962112.0
7.525,0.025,92.400,0.0,0.0,0.050,0.0,0.0,0.0,0.0,0.0,0.0,4383.0,2877.0,1942122496.0,287334400.0,1090015232.0,64335962112.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5197.0,2977.0,1942126592.0,287334400.0,1090019328.0,64335953920.0
7.652,0.050,92.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4125.0,2735.0,1941983232.0,287334400.0,1090019328.0,64336097280.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5301.0,3325.0,1941954560.0,287334400.0,1090019328.0,64336125952.0
8.602,0.050,91.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560.0,2893.0,1941954560.0,287334400.0,1090019328.0,64336125952.0
8.979,0.075,90.945,0.0,0.0,0.0,0.0,0.0,338.0,4822.0,0.0,0.0,4635.0,2733.0,1941954560.0,287334400.0,1090019328.0,64336125952.0
9.775,0.075,90.150,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,4989.0,2866.0,1941954560.0,287334400.0,1090019328.0,64336125952.0
7.827,0.050,92.123,0.0,0.0,0.0,0.0,0.0,0.0,12524.0,0.0,0.0,4158.0,2622.0,1941954560.0,287334400.0,1090019328.0,64336125952.0
10.003,0.025,89.947,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5130.0,2932.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
7.479,0.050,92.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4287.0,2751.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
10.053,0.050,89.872,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5117.0,2974.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
7.629,0.050,92.321,0.0,0.0,0.0,0.0,0.0,68.0,483.0,0.0,0.0,4114.0,2657.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5047.0,2860.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
8.329,0.025,91.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4371.0,2663.0,1941962752.0,287334400.0,1090019328.0,64336117760.0
9.202,0.075,90.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4737.0,2812.0,1941946368.0,287334400.0,1090019328.0,64336134144.0
9.555,0.050,90.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4859.0,2750.0,1941946368.0,287334400.0,1090019328.0,64336134144.0
7.927,0.075,91.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4332.0,2823.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
10.028,0.050,89.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5044.0,2853.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
7.529,0.050,92.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4091.0,2689.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
10.005,0.025,89.970,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,5060.0,2815.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
7.529,0.025,92.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4037.0,2676.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
10.003,0.050,89.947,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,5047.0,2800.0,1941946368.0,287334400.0,1090019328.0,64336134144.0
8.227,0.050,91.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4326.0,2719.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
9.332,0.050,90.618,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,5013.0,3233.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
9.452,0.050,90.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029.0,3233.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
8.106,0.050,91.844,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,4353.0,2780.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5443.0,3084.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
7.431,0.025,92.544,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,4151.0,2746.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5109.0,2999.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
7.527,0.025,92.423,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,4114.0,2755.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
10.030,0.025,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.0,3502.0,1941929984.0,287334400.0,1090019328.0,64336150528.0
7.979,0.050,91.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.0,3366.0,1942065152.0,287334400.0,1090019328.0,64336015360.0
9.230,0.050,90.245,0.475,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,4911.0,2880.0,1942065152.0,287334400.0,1090019328.0,64336015360.0
9.280,0.050,90.670,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,4748.0,2738.0,1942065152.0,287334400.0,1090019328.0,64336015360.0
8.356,0.025,91.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4506.0,2915.0,1941938176.0,287334400.0,1090019328.0,64336142336.0
10.025,0.075,89.900,0.0,0.0,0.0,0.0,0.0,743.0,574.0,0.0,0.0,5074.0,2828.0,1941934080.0,287334400.0,1090023424.0,64336142336.0
7.477,0.075,92.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4323.0,2933.0,1941934080.0,287334400.0,1090023424.0,64336142336.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5065.0,2834.0,1941934080.0,287334400.0,1090023424.0,64336142336.0
7.602,0.075,92.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4126.0,2751.0,1941929984.0,287334400.0,1090023424.0,64336146432.0
10.005,0.025,89.970,0.0,0.0,0.0,0.0,0.0,544.0,5232.0,0.0,0.0,5042.0,2791.0,1941929984.0,287334400.0,1090023424.0,64336146432.0
7.829,0.025,92.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,3166.0,1941938176.0,287334400.0,1090023424.0,64336138240.0
9.805,0.050,90.145,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5166.0,3235.0,1941946368.0,287334400.0,1090023424.0,64336130048.0
8.979,0.050,90.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4792.0,3069.0,1941929984.0,287334400.0,1090023424.0,64336146432.0
9.732,0.025,90.243,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,5267.0,3452.0,1941929984.0,287334400.0,1090023424.0,64336146432.0
9.607,0.050,90.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5473.0,3885.0,1941929984.0,287334400.0,1090023424.0,64336146432.0
10.003,0.075,89.922,0.0,0.0,0.0,0.0,0.0,470.0,1608.0,0.0,0.0,5280.0,3258.0,1941925888.0,287334400.0,1090023424.0,64336150528.0
9.705,0.025,90.245,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5152.0,3111.0,1941925888.0,287334400.0,1090023424.0,64336150528.0
10.003,0.050,89.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5263.0,3234.0,1941925888.0,287334400.0,1090023424.0,64336150528.0
