"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_C_O3_4.csv",,,,"Date:","10 Apr 2020 23:16:26 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.583,0.095,93.306,0.015,0.000,0.001,115.156,10481.205,0.0,0.0,0.0,0.0,3724.434,2765.642,1068630016.0,287563776.0,1072533504.0,65226706944.0
8.943,0.425,90.632,0.0,0.0,0.0,0.0,0.0,6746.0,9650.0,0.0,0.0,4821.0,2777.0,1831428096.0,287563776.0,1072533504.0,64463908864.0
9.850,0.075,90.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5021.0,2924.0,1831432192.0,287563776.0,1072537600.0,64463900672.0
9.932,0.025,90.043,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5058.0,2821.0,1831309312.0,287563776.0,1072537600.0,64464023552.0
9.827,0.025,89.672,0.475,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,6018.0,3919.0,1831309312.0,287563776.0,1072537600.0,64464023552.0
9.860,0.050,90.090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6578.0,4279.0,1831309312.0,287563776.0,1072537600.0,64464023552.0
9.832,0.050,90.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6286.0,3812.0,1831182336.0,287563776.0,1072537600.0,64464150528.0
9.837,0.050,90.113,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6520.0,4150.0,1831153664.0,287563776.0,1072537600.0,64464179200.0
9.832,0.050,90.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6467.0,4146.0,1831006208.0,287563776.0,1072537600.0,64464326656.0
9.832,0.050,90.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.0,4545.0,1831006208.0,287563776.0,1072537600.0,64464326656.0
9.862,0.025,90.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5954.0,3677.0,1831006208.0,287563776.0,1072537600.0,64464326656.0
9.648,0.125,90.227,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6358.0,4040.0,1831014400.0,287563776.0,1072537600.0,64464318464.0
9.777,0.125,90.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.0,3415.0,1830862848.0,287563776.0,1072537600.0,64464470016.0
9.702,0.100,90.198,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,6227.0,3670.0,1830862848.0,287563776.0,1072537600.0,64464470016.0
