"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/652/dstat_sp-mz_A.csv",,,,"Date:","08 Apr 2020 21:36:35 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.689,0.096,93.200,0.015,0.000,0.001,115.745,10666.638,0.0,0.0,0.0,0.0,3748.351,2774.130,1018748928.0,287125504.0,1053814784.0,65295745024.0
2.500,0.075,97.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043.0,2460.0,1066631168.0,287125504.0,1054085120.0,65247592448.0
2.502,0.025,97.473,0.0,0.0,0.0,0.0,0.0,3413058.0,100040.0,0.0,0.0,3053.0,2460.0,1066668032.0,287125504.0,1054289920.0,65247350784.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019.0,2439.0,1066524672.0,287125504.0,1054289920.0,65247494144.0
2.524,0.050,97.426,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3013.0,2404.0,1066405888.0,287125504.0,1054289920.0,65247612928.0
2.503,0.025,96.971,0.501,0.0,0.0,0.0,98304.0,0.0,0.0,0.0,0.0,3247.0,2840.0,1066270720.0,287125504.0,1054289920.0,65247748096.0
2.501,0.050,97.424,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,3010.0,2393.0,1066004480.0,287125504.0,1054289920.0,65248014336.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0,2492.0,1065144320.0,287125504.0,1054289920.0,65248874496.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3073.0,2511.0,1064927232.0,287125504.0,1054289920.0,65249091584.0
2.501,0.050,97.424,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3085.0,2528.0,1064878080.0,287125504.0,1054289920.0,65249140736.0
2.527,0.025,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3013.0,2396.0,1064751104.0,287125504.0,1054289920.0,65249267712.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,2474.0,1064226816.0,287125504.0,1054289920.0,65249792000.0
2.501,0.050,97.424,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,3045.0,2425.0,1063972864.0,287125504.0,1054289920.0,65250045952.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.0,2487.0,1063620608.0,287125504.0,1054289920.0,65250398208.0
2.501,0.050,97.424,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,2478.0,1063620608.0,287125504.0,1054289920.0,65250398208.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3069.0,2519.0,1063342080.0,287125504.0,1054289920.0,65250676736.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3023.0,2403.0,1063981056.0,287125504.0,1054289920.0,65250037760.0
2.527,0.025,97.423,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,2484.0,1063981056.0,287125504.0,1054289920.0,65250037760.0
2.501,0.050,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,2380.0,1063854080.0,287125504.0,1054289920.0,65250164736.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,2463.0,1063555072.0,287125504.0,1054289920.0,65250463744.0
2.502,0.025,97.473,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2997.0,2370.0,1063555072.0,287125504.0,1054289920.0,65250463744.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,2442.0,1063555072.0,287125504.0,1054289920.0,65250463744.0
2.526,0.075,97.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.0,2387.0,1063182336.0,287125504.0,1054289920.0,65250836480.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,2445.0,1063284736.0,287125504.0,1054289920.0,65250734080.0
2.526,0.025,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,2382.0,1063284736.0,287125504.0,1054289920.0,65250734080.0
2.503,0.050,96.972,0.475,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3037.0,2470.0,1063055360.0,287125504.0,1054289920.0,65250963456.0
2.527,0.025,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3036.0,2462.0,1062928384.0,287125504.0,1054289920.0,65251090432.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046.0,2458.0,1062924288.0,287125504.0,1054289920.0,65251094528.0
2.526,0.050,97.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,2386.0,1062670336.0,287125504.0,1054289920.0,65251348480.0
2.526,0.025,97.424,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3066.0,2523.0,1062670336.0,287125504.0,1054289920.0,65251348480.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,3014.0,2399.0,1062666240.0,287125504.0,1054294016.0,65251348480.0
2.502,0.050,97.423,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3056.0,2494.0,1062531072.0,287125504.0,1054294016.0,65251483648.0
