"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/652/dstat_sp-mz_A_O3.csv",,,,"Date:","09 Apr 2020 15:51:03 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.641,0.096,93.248,0.015,0.000,0.001,114.900,10594.077,0.0,0.0,0.0,0.0,3736.014,2769.904,1029357568.0,287137792.0,1054183424.0,65284755456.0
2.476,0.075,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3036.0,2442.0,1066201088.0,287137792.0,1054142464.0,65247952896.0
2.526,0.050,97.424,0.0,0.0,0.0,0.0,0.0,3967090.0,110722.0,0.0,0.0,2993.0,2346.0,1066491904.0,287137792.0,1054007296.0,65247797248.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,2442.0,1066373120.0,287137792.0,1054007296.0,65247916032.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2987.0,2358.0,1066127360.0,287137792.0,1054007296.0,65248161792.0
2.526,0.075,96.874,0.500,0.0,0.025,0.0,221184.0,0.0,0.0,0.0,0.0,3071.0,2507.0,1066008576.0,287137792.0,1054007296.0,65248280576.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,3045.0,2424.0,1065771008.0,287137792.0,1054007296.0,65248518144.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012.0,2421.0,1064996864.0,287137792.0,1054007296.0,65249292288.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,3017.0,2396.0,1064849408.0,287137792.0,1054007296.0,65249439744.0
2.527,0.050,97.398,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3085.0,2553.0,1064849408.0,287137792.0,1054007296.0,65249439744.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,3143.0,2626.0,1064386560.0,287137792.0,1054007296.0,65249902592.0
2.527,0.075,97.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,2587.0,1064288256.0,287137792.0,1054007296.0,65250000896.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,3034.0,2436.0,1064161280.0,287137792.0,1054007296.0,65250127872.0
2.526,0.075,97.374,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,2544.0,1064030208.0,287137792.0,1054007296.0,65250258944.0
2.526,0.075,97.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.0,2423.0,1063911424.0,287137792.0,1054007296.0,65250377728.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,2639.0,1063387136.0,287137792.0,1054007296.0,65250902016.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,2430.0,1063153664.0,287137792.0,1054007296.0,65251135488.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261.0,2913.0,1063153664.0,287137792.0,1054007296.0,65251135488.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3451.0,3264.0,1063600128.0,287137792.0,1054007296.0,65250689024.0
2.526,0.050,97.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.0,2452.0,1063092224.0,287137792.0,1054007296.0,65251196928.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,60.0,12524.0,0.0,0.0,3301.0,2964.0,1063088128.0,287137792.0,1054007296.0,65251201024.0
