"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/652/dstat_sp-mz_C_O3.csv",,,,"Date:","09 Apr 2020 15:51:38 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.641,0.096,93.248,0.015,0.000,0.001,114.900,10594.070,0.0,0.0,0.0,0.0,3736.011,2769.903,1029013504.0,287137792.0,1054015488.0,65285267456.0
2.351,0.200,97.449,0.0,0.0,0.0,0.0,0.0,115764.0,16458.0,0.0,0.0,3079.0,2514.0,1327558656.0,287137792.0,1054019584.0,64986718208.0
2.278,0.275,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3141.0,2633.0,1737048064.0,287137792.0,1054126080.0,64577122304.0
2.477,0.100,97.423,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,3097.0,2579.0,1825382400.0,287137792.0,1054126080.0,64488787968.0
2.504,0.050,97.396,0.050,0.0,0.0,0.0,163840.0,0.0,0.0,0.0,0.0,3061.0,2399.0,1825255424.0,287137792.0,1054126080.0,64488914944.0
2.528,0.025,97.397,0.050,0.0,0.0,0.0,28672.0,240.0,0.0,0.0,0.0,2993.0,2373.0,1825259520.0,287137792.0,1054126080.0,64488910848.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,2420.0,1825255424.0,287137792.0,1054126080.0,64488914944.0
2.527,0.075,97.398,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,3064.0,2496.0,1825189888.0,287137792.0,1054126080.0,64488980480.0
2.503,0.025,97.447,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3052.0,2511.0,1824808960.0,287137792.0,1054126080.0,64489361408.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,3063.0,2486.0,1824673792.0,287137792.0,1054126080.0,64489496576.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,2498.0,1824681984.0,287137792.0,1054126080.0,64489488384.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.0,2472.0,1824681984.0,287137792.0,1054126080.0,64489488384.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,2403.0,1824641024.0,287137792.0,1054126080.0,64489529344.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2996.0,2369.0,1824641024.0,287137792.0,1054126080.0,64489529344.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0,2399.0,1824387072.0,287137792.0,1054126080.0,64489783296.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2986.0,2374.0,1824387072.0,287137792.0,1054126080.0,64489783296.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,2562.0,1824378880.0,287137792.0,1054126080.0,64489791488.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.0,2373.0,1824370688.0,287137792.0,1054126080.0,64489799680.0
2.504,0.025,97.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0,2403.0,1824370688.0,287137792.0,1054126080.0,64489799680.0
2.529,0.050,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3618.0,3699.0,1824370688.0,287137792.0,1054126080.0,64489799680.0
2.503,0.075,97.397,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3304.0,3077.0,1824210944.0,287137792.0,1054126080.0,64489959424.0
2.529,0.050,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3726.0,3937.0,1824210944.0,287137792.0,1054126080.0,64489959424.0
2.506,0.025,97.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.0,3998.0,1824210944.0,287137792.0,1054126080.0,64489959424.0
2.528,0.050,96.922,0.501,0.0,0.0,0.0,12288.0,60.0,0.0,0.0,0.0,3020.0,2477.0,1824206848.0,287137792.0,1054126080.0,64489963520.0
