"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-2.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/662/dstat_sp-mz_C.csv",,,,"Date:","08 Apr 2020 21:39:21 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
5.615,0.574,93.778,0.027,0.000,0.005,383.849,34016.392,0.0,0.0,176.353,273.686,4448.926,3561.008,1076989952.0,106676224.0,12229115904.0,54241452032.0
2.062,0.062,97.875,0.0,0.0,0.0,0.0,0.0,185800.0,27210.0,0.0,0.0,3048.0,2437.0,1118228480.0,106676224.0,12229120000.0,54200209408.0
2.064,0.083,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3112.0,2581.0,1159663616.0,106676224.0,12229120000.0,54158774272.0
2.086,0.042,97.851,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3215.0,2791.0,1197539328.0,106676224.0,12229120000.0,54120898560.0
2.063,0.104,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,2418.0,1239474176.0,106676224.0,12229120000.0,54078963712.0
2.064,0.063,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,2431.0,1279320064.0,106676224.0,12229120000.0,54039117824.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,3013.0,2409.0,1319157760.0,106676224.0,12229120000.0,53999280128.0
2.065,0.063,97.873,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3038.0,2435.0,1361072128.0,106676224.0,12229120000.0,53957365760.0
2.064,0.083,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.0,2406.0,1400918016.0,106676224.0,12229120000.0,53917519872.0
2.043,0.104,97.852,0.0,0.0,0.0,0.0,0.0,683.0,572.0,0.0,0.0,3052.0,2436.0,1482833920.0,106676224.0,12229120000.0,53835603968.0
