Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/20/20 	_x86_64_	(48 CPU)

04:39:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:39:10     all    0.06    0.00    0.17    0.00    0.00    0.00    0.00    0.00   99.77
04:39:10       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
04:39:10       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      27    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   95.00
04:39:10      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      38    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:39:10      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:10      47    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   97.00

04:39:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:39:11     all    0.96    0.00    0.21    0.00    0.00    0.02    0.00    0.00   98.81
04:39:11       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
04:39:11       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11      12   22.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   77.00
04:39:11      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:39:11      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
