Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-2.local) 	04/20/20 	_x86_64_	(48 CPU)

22:41:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
22:41:07     all    2.90    0.00    0.27    0.00    0.00    0.00    0.00    0.00   96.83
22:41:07       0   66.67    0.00    1.01    0.00    0.00    0.00    0.00    0.00   32.32
22:41:07       1    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00   98.02
22:41:07       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
22:41:07       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
22:41:07      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      24    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00   96.97
22:41:07      25   66.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   32.00
22:41:07      26    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00   93.88
22:41:07      27    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
22:41:07      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      34    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
22:41:07      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:41:07      38    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
22:41:07      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
