Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:50:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:50:19     all   12.60    0.00    0.58    0.00    0.00    0.04    0.00    0.00   86.77
05:50:19       0    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00   96.97
05:50:19       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       3    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
05:50:19       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:50:19      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:50:19      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:50:19      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      24   74.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   25.00
05:50:19      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      27   74.26    0.00    2.97    0.00    0.00    0.99    0.00    0.00   21.78
05:50:19      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      29   75.25    0.00    0.99    0.00    0.00    0.00    0.00    0.00   23.76
05:50:19      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      31   74.75    0.00    1.01    0.00    0.00    0.00    0.00    0.00   24.24
05:50:19      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      35    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:50:19      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      37   77.23    0.00    6.93    0.00    0.00    0.99    0.00    0.00   14.85
05:50:19      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      39   74.26    0.00    2.97    0.00    0.00    0.00    0.00    0.00   22.77
05:50:19      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      41   75.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   23.00
05:50:19      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      43   75.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   24.00
05:50:19      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:19      47    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00

05:50:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:50:20     all   16.67    0.00    0.04    0.00    0.00    0.00    0.00    0.00   83.28
05:50:20       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:50:20      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      24  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      27  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      29  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      31  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      35    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:50:20      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      37  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      39  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:50:20      41  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:50:20      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
