Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

06:14:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:14:06     all   12.82    0.00    0.48    0.00    0.00    0.02    0.00    0.00   86.68
06:14:06       0   77.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   21.00
06:14:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      24    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
06:14:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      26    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
06:14:06      27   76.77    0.00    2.02    0.00    0.00    0.00    0.00    0.00   21.21
06:14:06      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      29   76.77    0.00    1.01    0.00    0.00    0.00    0.00    0.00   22.22
06:14:06      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      31   76.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   23.00
06:14:06      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      36   79.21    0.00    5.94    0.00    0.00    0.00    0.00    0.00   14.85
06:14:06      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      39   76.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   22.00
06:14:06      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:14:06      41   76.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   23.00
