Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:23:42     all    0.08    0.00    0.19    0.00    0.00    0.00    0.00    0.00   99.73
05:23:42       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:23:42       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      24    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
05:23:42      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      27    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:23:42      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      37    1.98    0.00    2.97    0.00    0.00    0.99    0.00    0.00   94.06
05:23:42      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      45    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:23:42      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:42      47    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00   97.03

05:23:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:23:43     all    0.00    0.00    0.06    0.42    0.00    0.00    0.00    0.00   99.52
05:23:43       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:23:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:43      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
