Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:33:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:33:25     all    0.04    0.00    0.15    0.00    0.00    0.00    0.00    0.00   99.81
17:33:25       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      12    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
17:33:25      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:33:25      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
