Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:49:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:49:18     all    0.04    0.00    0.21    0.42    0.00    0.00    0.00    0.00   99.33
05:49:18       0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
05:49:18       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      11    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:49:18      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:49:18      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      20    0.00    0.00    0.00   20.00    0.00    0.00    0.00    0.00   80.00
05:49:18      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:49:18      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      34    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:49:18      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      37    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
05:49:18      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:18      47    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00

05:49:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:49:19     all    3.13    0.00    0.42    0.00    0.00    0.02    0.00    0.00   96.43
05:49:19       0   19.19    0.00    2.02    0.00    0.00    0.00    0.00    0.00   78.79
05:49:19       1    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:49:19       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      12    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:49:19      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      21    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:49:19      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      24    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00   97.03
05:49:19      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:49:19      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      27   18.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   79.00
05:49:19      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      29   19.19    0.00    1.01    0.00    0.00    0.00    0.00    0.00   79.80
05:49:19      30    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:49:19      31   18.18    0.00    1.01    0.00    0.00    0.00    0.00    0.00   80.81
05:49:19      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      36    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:49:19      37   20.20    0.00    4.04    0.00    0.00    0.00    0.00    0.00   75.76
05:49:19      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      39   17.35    0.00    2.04    0.00    0.00    0.00    0.00    0.00   80.61
05:49:19      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      41   18.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   80.00
05:49:19      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      43   18.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   80.00
05:49:19      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:19      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

