Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

06:09:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:09:46     all    0.04    0.00    0.17    0.00    0.00    0.02    0.00    0.00   99.77
06:09:46       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
06:09:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      28    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
06:09:46      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      32    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:09:46      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      36    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
06:09:46      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:09:46      47    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00   97.03

06:09:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:09:47     all    1.84    0.00    0.25    0.00    0.00    0.02    0.00    0.00   97.89
06:09:47       0   21.43    0.00    1.02    0.00    0.00    0.00    0.00    0.00   77.55
06:09:47       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
