Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:22:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:22:09     all    0.04    0.00    0.21    0.00    0.00    0.00    0.00    0.00   99.75
05:22:09       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:22:09       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09       9    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:22:09      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:22:09      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
