Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:02:32     all    0.15    0.00    0.25    0.02    0.00    0.02    0.00    0.00   99.56
19:02:32       0    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00   97.96
19:02:32       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:02:32       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       3    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
19:02:32       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
19:02:32      13    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:02:32      14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:02:32      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      24    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
19:02:32      25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:02:32      26    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:02:32      27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:02:32      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      32    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
19:02:32      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      36    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:02:32      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      38    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   93.00
19:02:32      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:32      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
