Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:29:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:29:15     all    3.31    0.00    0.27    0.00    0.00    0.00    0.00    0.00   96.42
05:29:15       0   77.78    0.00    1.01    0.00    0.00    0.00    0.00    0.00   21.21
05:29:15       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      24    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   97.00
05:29:15      25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:29:15      26    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:29:15      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      30    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:29:15      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:29:15      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
