Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:08:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:08:31     all    7.18    0.00    2.34    0.00    0.00    0.04    0.00    0.00   90.44
17:08:31       0   42.42    0.00   11.11    0.00    0.00    0.00    0.00    0.00   46.46
17:08:31       1    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:08:31       2    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
17:08:31       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31       5   41.58    0.00   10.89    0.00    0.00    0.00    0.00    0.00   47.52
17:08:31       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      15    8.08    0.00    8.08    0.00    0.00    0.00    0.00    0.00   83.84
17:08:31      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      24    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
17:08:31      25    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:08:31      26    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
17:08:31      27   43.43    0.00   12.12    0.00    0.00    0.00    0.00    0.00   44.44
17:08:31      28    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
17:08:31      29    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
17:08:31      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      31   40.40    0.00   13.13    0.00    0.00    0.00    0.00    0.00   46.46
17:08:31      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      36   42.42    0.00   14.14    0.00    0.00    0.00    0.00    0.00   43.43
17:08:31      37    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
17:08:31      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      39   37.37    0.00    6.06    0.00    0.00    1.01    0.00    0.00   55.56
17:08:31      40    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:08:31      41   41.41    0.00   12.12    0.00    0.00    0.00    0.00    0.00   46.46
17:08:31      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      43   41.41    0.00   12.12    0.00    0.00    0.00    0.00    0.00   46.46
17:08:31      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:31      47    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00   97.03

17:08:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:08:32     all    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00   99.96
17:08:32       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:32       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:08:32       2    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
17:08:32       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
