Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:01:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:01:58     all    0.10    0.00    0.23    0.00    0.00    0.00    0.00    0.00   99.67
19:01:58       0    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00   97.96
19:01:58       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58       8    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
19:01:58       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:01:58      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:01:58      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:01:58      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      36    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:01:58      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      38    1.98    0.00    3.96    0.00    0.00    0.99    0.00    0.00   93.07
19:01:58      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58      47    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99

19:01:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:01:59     all    0.00    0.00    0.04    0.02    0.00    0.00    0.00    0.00   99.94
19:01:59       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
