Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:56:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:46     all    0.06    0.00    0.17    0.00    0.00    0.00    0.00    0.00   99.77
05:56:46       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:56:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       6    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:56:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      16    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
05:56:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      36    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00   96.97
05:56:46      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:46      47    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00

05:56:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:47     all    1.27    0.00    0.15    0.00    0.00    0.02    0.00    0.00   98.56
05:56:47       0   28.57    0.00    2.04    0.00    0.00    0.00    0.00    0.00   69.39
05:56:47       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:56:47      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      24    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
05:56:47      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      36   31.31    0.00    2.02    0.00    0.00    0.00    0.00    0.00   66.67
05:56:47      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      38    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:56:47      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      40    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:56:47      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:47      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:56:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:48     all    4.15    0.00    0.06    0.00    0.00    0.00    0.00    0.00   95.79
05:56:48       0   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
05:56:48       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      25    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
05:56:48      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      36   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:48      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      40    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:56:48      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:48      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:56:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:49     all    4.12    0.00    0.08    0.44    0.00    0.02    0.00    0.00   95.33
05:56:49       0   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
05:56:49       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      20    0.00    0.00    0.00   21.00    0.00    0.00    0.00    0.00   79.00
05:56:49      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:56:49      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      36   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
05:56:49      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      40    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00   98.02
05:56:49      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:49      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:56:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:50     all    4.15    0.00    0.04    0.00    0.00    0.02    0.00    0.00   95.79
05:56:50       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:50       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:56:50      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      36  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:50      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      40    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00   98.99
05:56:50      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:50      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:56:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:51     all    4.13    0.00    0.08    0.00    0.00    0.00    0.00    0.00   95.79
05:56:51       0   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:51       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      13    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
05:56:51      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      36   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:51      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      40    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:56:51      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:51      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:56:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:56:52     all    4.17    0.00    0.06    0.00    0.00    0.02    0.00    0.00   95.75
05:56:52       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:52       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:52       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:52       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:52       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:56:52       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
