Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:20:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:20:11     all    9.75    0.00    2.29    0.00    0.00    0.08    0.00    0.00   87.87
05:20:11       0   21.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00   67.00
05:20:11       1   36.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
05:20:11       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:20:11       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:20:11       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11       7   56.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00   33.00
05:20:11       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:20:11      13    7.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00   83.00
05:20:11      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      15    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
05:20:11      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      19   56.44    0.00    9.90    0.00    0.00    0.00    0.00    0.00   33.66
05:20:11      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      24    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
05:20:11      25    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:20:11      26    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00   99.01
05:20:11      27   57.43    0.00   12.87    0.00    0.00    0.00    0.00    0.00   29.70
05:20:11      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      29   58.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00   30.00
05:20:11      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      31    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00   98.02
05:20:11      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      37   52.53    0.00    6.06    0.00    0.00    2.02    0.00    0.00   39.39
05:20:11      38    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:20:11      39   58.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00   30.00
05:20:11      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      41   56.57    0.00   13.13    0.00    0.00    0.00    0.00    0.00   30.30
05:20:11      42    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:20:11      43    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
05:20:11      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:20:11      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
