Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:39        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:40           lo     18.37     18.37      5.08      5.08      0.00      0.00      0.00
05:23:40         eth1    161.22    160.20     25.70     30.39      0.00      0.00      0.00
05:23:40         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:40         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:40         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:40        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:23:40        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:41           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:41         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:41         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:41         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:41         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:41        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
