Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:56        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:57           lo     18.37     18.37      5.13      5.13      0.00      0.00      0.00
19:02:57         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:57         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:57         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:57         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:57        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:57        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:58           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:58         eth1    324.49    348.98     55.55     64.36      0.00      0.00    151.02
19:02:58         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:58         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:58         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:58        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
