Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:41:16        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:41:17           lo   5144.55   5144.55 122176.70 122176.70      0.00      0.00      0.00
05:41:17         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:17         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:17         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:17         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:17        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:41:17        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:41:18           lo   5773.47   5773.47 151005.46 151005.46      0.00      0.00      0.00
05:41:18         eth1    385.71    433.67    106.99     76.66      0.00      0.00     37.76
05:41:18         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:18         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:18         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:18        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:41:18        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:41:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:19         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:19         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:19         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:19         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:41:19        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
