Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:08:27        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:08:28           lo    418.37    418.37    388.82    388.82      0.00      0.00      0.00
17:08:28         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:28         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:28         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:28         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:28        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

17:08:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:08:29           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:29         eth1   1138.78   1433.67    199.67    234.00      0.00      0.00    114.29
17:08:29         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:29         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:29         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:08:29        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
