Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:53        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:54           lo     18.56     18.56      5.13      5.13      0.00      0.00      0.00
05:23:54         eth1    153.61    157.73     25.22     30.19      0.00      0.00     76.29
05:23:54         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:54         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:54         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:54        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:23:54        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:55           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:55         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:55         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:55         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:55         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:55        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
