Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:22        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:23           lo     18.18     18.18      5.07      5.07      0.00      0.00      0.00
19:02:23         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:23         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:23         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:23         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:23        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:23        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:24           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:24         eth1    192.86    204.08     32.42     39.26      0.00      0.00      0.00
19:02:24         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:24         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:24         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:24        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
