Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:46        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:47           lo     18.37     18.37      5.08      5.08      0.00      0.00      0.00
05:23:47         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:47         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:47         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:47         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:47        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:23:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:48         eth1    151.02    156.12     24.90     29.89      0.00      0.00     37.76
05:23:48         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:48         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:48         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:48        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
