Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:42        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:43           lo     18.37     18.37      5.13      5.13      0.00      0.00      0.00
19:02:43         eth1    244.90    302.04     41.72     53.51      0.00      0.00      0.00
19:02:43         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:43         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:43         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:43        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:43        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:44           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:44         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:44         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:44         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:44         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:44        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
