"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_ep_A_4.csv",,,,"Date:","10 Apr 2020 17:21:40 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.585,0.095,93.304,0.015,0.000,0.001,115.423,10496.671,0.0,0.0,0.0,0.0,3723.034,2765.362,1037762560.0,287334400.0,1070043136.0,65260294144.0
9.995,0.050,89.955,0.0,0.0,0.0,0.0,0.0,9092.0,11758.0,0.0,0.0,5112.0,2894.0,1037250560.0,287334400.0,1070047232.0,65260802048.0
10.005,0.025,89.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5045.0,2844.0,1037258752.0,287334400.0,1070047232.0,65260793856.0
10.005,0.050,89.870,0.075,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5071.0,2912.0,1037451264.0,287334400.0,1070047232.0,65260601344.0
10.008,0.050,89.542,0.400,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,5511.0,3767.0,1037197312.0,287334400.0,1070047232.0,65260855296.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5369.0,3476.0,1037070336.0,287334400.0,1070047232.0,65260982272.0
7.254,0.050,92.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4379.0,2737.0,1037062144.0,287334400.0,1070047232.0,65260990464.0
2.202,0.050,97.748,0.0,0.0,0.0,0.0,0.0,470.0,1974.0,0.0,0.0,3001.0,2459.0,1032134656.0,287334400.0,1070047232.0,65265917952.0
0.0,0.075,99.900,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,2052.0,2226.0,1032065024.0,287334400.0,1070051328.0,65265983488.0
