"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_ep_A_O3_2.csv",,,,"Date:","10 Apr 2020 21:32:26 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.235,10487.806,0.0,0.0,0.0,0.0,3725.387,2765.777,1162997760.0,287551488.0,1070854144.0,65134030848.0
4.996,0.050,94.929,0.0,0.0,0.025,0.0,0.0,31680.0,13942.0,0.0,0.0,3137.0,2521.0,1163128832.0,287551488.0,1070858240.0,65133895680.0
5.025,0.050,94.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.0,2527.0,1163374592.0,287551488.0,1070882816.0,65133625344.0
5.003,0.050,94.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,2469.0,1163636736.0,287551488.0,1070882816.0,65133363200.0
5.001,0.050,94.449,0.475,0.0,0.025,0.0,20480.0,0.0,0.0,0.0,0.0,3171.0,2707.0,1163636736.0,287551488.0,1070882816.0,65133363200.0
5.003,0.025,94.972,0.0,0.0,0.0,0.0,0.0,683.0,571.0,0.0,0.0,3062.0,2419.0,1163509760.0,287551488.0,1070882816.0,65133490176.0
5.003,0.050,94.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.0,2547.0,1163304960.0,287551488.0,1070882816.0,65133694976.0
5.0,0.050,94.925,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,3159.0,2508.0,1163878400.0,287551488.0,1070882816.0,65133121536.0
3.804,0.025,96.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.0,2602.0,1163800576.0,287551488.0,1070882816.0,65133199360.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3074.0,2459.0,1163800576.0,287551488.0,1070882816.0,65133199360.0
1.377,0.050,98.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2669.0,2450.0,1161940992.0,287551488.0,1070882816.0,65135058944.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,470.0,1970.0,0.0,0.0,2036.0,2216.0,1161682944.0,287551488.0,1070886912.0,65135312896.0
