"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_ep_C_4.csv",,,,"Date:","10 Apr 2020 17:19:47 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.585,0.095,93.304,0.015,0.000,0.001,115.425,10496.787,0.0,0.0,0.0,0.0,3723.011,2765.358,1036570624.0,287334400.0,1070014464.0,65261514752.0
10.020,0.050,89.880,0.025,0.0,0.025,0.0,16384.0,0.0,0.0,0.0,0.0,6198.0,3380.0,1036443648.0,287334400.0,1070014464.0,65261641728.0
10.008,0.025,89.967,0.0,0.0,0.0,0.0,0.0,5876.0,7118.0,0.0,0.0,6046.0,3054.0,1037471744.0,287334400.0,1070018560.0,65260609536.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6112.0,3191.0,1037340672.0,287334400.0,1070018560.0,65260740608.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6058.0,3021.0,1037086720.0,287334400.0,1070018560.0,65260994560.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6177.0,3339.0,1036959744.0,287334400.0,1070018560.0,65261121536.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6179.0,3278.0,1036959744.0,287334400.0,1070018560.0,65261121536.0
10.003,0.050,89.922,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,6076.0,3136.0,1036443648.0,287334400.0,1070018560.0,65261637632.0
10.030,0.025,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6078.0,3039.0,1036046336.0,287334400.0,1070018560.0,65262034944.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6094.0,3136.0,1036038144.0,287334400.0,1070018560.0,65262043136.0
10.005,0.050,89.920,0.0,0.0,0.025,0.0,0.0,683.0,13095.0,0.0,0.0,6064.0,3036.0,1035894784.0,287334400.0,1070018560.0,65262186496.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,3524.0,1035685888.0,287334400.0,1070018560.0,65262395392.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6051.0,3023.0,1035685888.0,287334400.0,1070018560.0,65262395392.0
10.013,0.025,89.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6370.0,3735.0,1035636736.0,287334400.0,1070018560.0,65262444544.0
10.033,0.050,89.792,0.125,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,6346.0,3479.0,1035264000.0,287334400.0,1070018560.0,65262817280.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6222.0,3402.0,1035628544.0,287334400.0,1070026752.0,65262444544.0
10.005,0.050,89.920,0.0,0.0,0.025,0.0,0.0,0.0,124.0,0.0,0.0,6166.0,3240.0,1036013568.0,287334400.0,1070026752.0,65262059520.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6090.0,3168.0,1036005376.0,287334400.0,1070026752.0,65262067712.0
10.030,0.075,89.895,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6076.0,3023.0,1035751424.0,287334400.0,1070026752.0,65262321664.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.0,3058.0,1035718656.0,287334400.0,1070026752.0,65262354432.0
10.008,0.025,89.967,0.0,0.0,0.0,0.0,0.0,128.0,483.0,0.0,0.0,6049.0,3005.0,1035587584.0,287334400.0,1070026752.0,65262485504.0
10.008,0.050,89.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6037.0,3060.0,1035382784.0,287334400.0,1070026752.0,65262690304.0
10.028,0.050,89.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.0,3015.0,1035382784.0,287334400.0,1070026752.0,65262690304.0
10.005,0.050,89.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6037.0,3058.0,1035382784.0,287334400.0,1070026752.0,65262690304.0
