"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_ep_C_O3_8.csv",,,,"Date:","10 Apr 2020 21:34:17 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.233,10487.691,0.0,0.0,0.0,0.0,3725.404,2765.780,1170227200.0,287551488.0,1070944256.0,65126711296.0
20.010,0.050,79.465,0.475,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,10111.0,3987.0,1170247680.0,287551488.0,1070948352.0,65126686720.0
20.015,0.025,79.960,0.0,0.0,0.0,0.0,0.0,4312.0,5342.0,0.0,0.0,10047.0,3817.0,1170755584.0,287551488.0,1070948352.0,65126178816.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10142.0,4037.0,1170755584.0,287551488.0,1070948352.0,65126178816.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,10154.0,4035.0,1170628608.0,287551488.0,1070948352.0,65126305792.0
20.040,0.075,79.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10134.0,4013.0,1157505024.0,287551488.0,1070948352.0,65139429376.0
19.985,0.050,79.965,0.0,0.0,0.0,0.0,0.0,68.0,483.0,0.0,0.0,9962.0,3758.0,1155473408.0,287551488.0,1070948352.0,65141460992.0
20.035,0.025,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10307.0,4491.0,1155211264.0,287551488.0,1070948352.0,65141723136.0
19.995,0.050,79.955,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10203.0,4265.0,1155162112.0,287551488.0,1070948352.0,65141772288.0
20.015,0.025,79.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10286.0,4429.0,1154977792.0,287551488.0,1070948352.0,65141956608.0
20.020,0.050,79.930,0.0,0.0,0.0,0.0,0.0,60.0,42.0,0.0,0.0,10650.0,5094.0,1154977792.0,287551488.0,1070948352.0,65141956608.0
20.010,0.050,79.940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10192.0,4241.0,1148448768.0,287551488.0,1070948352.0,65148485632.0
20.005,0.025,79.945,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,9772.0,4033.0,1148448768.0,287551488.0,1070948352.0,65148485632.0
20.005,0.050,79.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.0,3739.0,1148313600.0,287551488.0,1070948352.0,65148620800.0
20.005,0.025,79.970,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,9034.0,3583.0,1148313600.0,287551488.0,1070948352.0,65148620800.0
20.0,0.075,79.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9627.0,4132.0,1148305408.0,287551488.0,1070948352.0,65148628992.0
20.020,0.025,79.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10479.0,4781.0,1148305408.0,287551488.0,1070948352.0,65148628992.0
20.015,0.025,79.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10495.0,4855.0,1148112896.0,287551488.0,1070948352.0,65148821504.0
20.020,0.025,79.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,4805.0,1148121088.0,287551488.0,1070948352.0,65148813312.0
20.010,0.050,79.440,0.500,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,10501.0,4876.0,1147994112.0,287551488.0,1070948352.0,65148940288.0
