"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_is_C_8.csv",,,,"Date:","10 Apr 2020 17:21:49 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.585,0.095,93.304,0.015,0.000,0.001,115.423,10496.662,0.0,0.0,0.0,0.0,3723.035,2765.362,1049714688.0,287334400.0,1070051328.0,65248333824.0
19.965,0.075,79.960,0.0,0.0,0.0,0.0,0.0,3108.0,4864.0,0.0,0.0,9051.0,3595.0,1184194560.0,287334400.0,1070051328.0,65113853952.0
19.955,0.100,79.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9344.0,4254.0,1326796800.0,287334400.0,1070055424.0,64971247616.0
19.945,0.100,79.955,0.0,0.0,0.0,0.0,4096.0,0.0,66.0,0.0,0.0,9573.0,4613.0,1478299648.0,287334400.0,1070055424.0,64819744768.0
18.114,0.325,81.511,0.050,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,8936.0,4361.0,2108334080.0,287334400.0,1070055424.0,64189710336.0
19.210,0.100,80.690,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,8827.0,3763.0,2140934144.0,287334400.0,1070055424.0,64157110272.0
19.305,0.050,80.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8844.0,3840.0,2140925952.0,287334400.0,1070055424.0,64157118464.0
19.280,0.050,80.645,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,8825.0,3723.0,2140672000.0,287334400.0,1070055424.0,64157372416.0
18.439,0.050,81.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8670.0,3718.0,1059045376.0,287334400.0,1070055424.0,65238999040.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,524.0,5382.0,0.0,0.0,2005.0,2142.0,1058627584.0,287334400.0,1070059520.0,65239412736.0
