"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-OMP/results/652/dstat_is_C_O3_2.csv",,,,"Date:","10 Apr 2020 21:29:22 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.237,10487.984,0.0,0.0,0.0,0.0,3725.396,2765.782,1194524672.0,287551488.0,1070710784.0,65102647296.0
4.974,0.075,94.951,0.0,0.0,0.0,0.0,0.0,40034.0,16803.0,0.0,0.0,4133.0,2821.0,1248497664.0,287551488.0,1070755840.0,65048629248.0
4.979,0.075,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196.0,3002.0,1307295744.0,287551488.0,1070755840.0,64989831168.0
4.979,0.050,94.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.0,2670.0,1361813504.0,287551488.0,1070755840.0,64935313408.0
4.977,0.075,94.472,0.475,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,4038.0,2658.0,1415991296.0,287551488.0,1070755840.0,64881135616.0
4.979,0.075,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4120.0,2782.0,1474457600.0,287551488.0,1070755840.0,64822669312.0
4.979,0.075,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4217.0,3003.0,1528598528.0,287551488.0,1070755840.0,64768528384.0
4.979,0.075,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4013.0,2614.0,1582743552.0,287551488.0,1070755840.0,64714383360.0
4.977,0.075,94.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.0,2799.0,1637113856.0,287551488.0,1070755840.0,64660013056.0
4.979,0.075,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4219.0,3010.0,1695834112.0,287551488.0,1070755840.0,64601292800.0
4.727,0.350,94.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4255.0,3066.0,2262937600.0,287551488.0,1070755840.0,64034189312.0
4.952,0.075,94.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.0,2621.0,2295918592.0,287551488.0,1070755840.0,64001208320.0
4.976,0.050,94.949,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4039.0,2690.0,2295336960.0,287551488.0,1070755840.0,64001789952.0
4.954,0.050,94.521,0.475,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,4029.0,2647.0,2295083008.0,287551488.0,1070755840.0,64002043904.0
5.028,0.050,94.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4031.0,2664.0,2294964224.0,287551488.0,1070755840.0,64002162688.0
4.954,0.050,94.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4033.0,2668.0,2294829056.0,287551488.0,1070755840.0,64002297856.0
4.979,0.050,94.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097.0,2821.0,2294558720.0,287551488.0,1070755840.0,64002568192.0
4.980,0.025,94.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4055.0,2704.0,2294415360.0,287551488.0,1070755840.0,64002711552.0
5.004,0.050,94.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,2668.0,2293882880.0,287551488.0,1070755840.0,64003244032.0
4.980,0.050,94.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3712.0,2539.0,2293706752.0,287551488.0,1070755840.0,64003420160.0
4.800,0.050,95.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.0,2535.0,2293567488.0,287551488.0,1070755840.0,64003559424.0
4.729,0.050,95.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3041.0,2435.0,2293444608.0,287551488.0,1070755840.0,64003682304.0
4.674,0.075,95.226,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3112.0,2597.0,2293317632.0,287551488.0,1070755840.0,64003809280.0
5.004,0.025,94.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,2493.0,2293317632.0,287551488.0,1070755840.0,64003809280.0
1.750,0.075,98.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.0,2349.0,1215635456.0,287551488.0,1070759936.0,65081487360.0
0.0,0.075,99.925,0.0,0.0,0.0,0.0,0.0,404.0,1608.0,0.0,0.0,2041.0,2180.0,1215508480.0,287551488.0,1070759936.0,65081614336.0
