"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_ep_A_intel_O2.csv",,,,"Date:","10 Apr 2020 02:07:04 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.618,0.095,93.271,0.015,0.000,0.001,116.124,10555.236,0.0,0.0,0.0,0.0,3730.538,2768.008,1022476288.0,287309824.0,1086771200.0,65258876928.0
2.501,0.050,97.449,0.0,0.0,0.0,0.0,0.0,911204.0,27946.0,0.0,0.0,3028.0,2438.0,1022865408.0,287309824.0,1086775296.0,65258483712.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019.0,2400.0,1023234048.0,287309824.0,1086779392.0,65258110976.0
2.527,0.025,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3046.0,2465.0,1023234048.0,287309824.0,1086779392.0,65258110976.0
2.503,0.050,96.972,0.475,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,3056.0,2502.0,1023102976.0,287309824.0,1086779392.0,65258242048.0
2.502,0.025,97.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2997.0,2392.0,1023102976.0,287309824.0,1086779392.0,65258242048.0
2.527,0.025,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,2409.0,1023025152.0,287309824.0,1086779392.0,65258319872.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,2994.0,2386.0,1022873600.0,287309824.0,1086779392.0,65258471424.0
0.075,0.050,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.0,2329.0,1021612032.0,287309824.0,1086779392.0,65259732992.0
0.0,0.075,99.925,0.0,0.0,0.0,0.0,0.0,1440.0,2796.0,0.0,0.0,2017.0,2241.0,1021632512.0,287309824.0,1086779392.0,65259712512.0
