"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_ep_C_intel_O2.csv",,,,"Date:","10 Apr 2020 02:05:10 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.618,0.095,93.271,0.015,0.000,0.001,116.126,10555.358,0.0,0.0,0.0,0.0,3730.546,2768.010,1022914560.0,287309824.0,1085689856.0,65259520000.0
2.500,0.050,97.450,0.0,0.0,0.0,0.0,0.0,908164.0,22808.0,0.0,0.0,3555.0,3506.0,1023524864.0,287309824.0,1085698048.0,65258901504.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3347.0,3170.0,1023971328.0,287309824.0,1085698048.0,65258455040.0
2.504,0.025,97.471,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,3323.0,3114.0,1024028672.0,287309824.0,1085894656.0,65258201088.0
2.503,0.050,96.996,0.451,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3401.0,3251.0,1023520768.0,287309824.0,1085894656.0,65258708992.0
2.529,0.025,97.446,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,3694.0,3810.0,1023520768.0,287309824.0,1085894656.0,65258708992.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,3197.0,1023520768.0,287309824.0,1085894656.0,65258708992.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491.0,3378.0,1023258624.0,287309824.0,1085894656.0,65258971136.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3476.0,3436.0,1022824448.0,287309824.0,1085894656.0,65259405312.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3182.0,2813.0,1022697472.0,287309824.0,1085894656.0,65259532288.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.0,2447.0,1022689280.0,287309824.0,1085894656.0,65259540480.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2943.0,2330.0,1022562304.0,287309824.0,1085894656.0,65259667456.0
2.504,0.075,97.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261.0,3017.0,1022533632.0,287309824.0,1085894656.0,65259696128.0
2.504,0.025,97.471,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3556.0,3550.0,1022455808.0,287309824.0,1085894656.0,65259773952.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3245.0,3022.0,1022337024.0,287309824.0,1085894656.0,65259892736.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,743.0,575.0,0.0,0.0,2971.0,2399.0,1022320640.0,287309824.0,1085894656.0,65259909120.0
2.527,0.075,97.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2975.0,2411.0,1022296064.0,287309824.0,1085894656.0,65259933696.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,2966.0,2341.0,1022296064.0,287309824.0,1085894656.0,65259933696.0
2.504,0.075,97.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3387.0,3293.0,1022304256.0,287309824.0,1085894656.0,65259925504.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,3561.0,3470.0,1022304256.0,287309824.0,1085894656.0,65259925504.0
2.502,0.075,97.398,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,2708.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.503,0.050,96.971,0.476,0.0,0.0,0.0,12288.0,60.0,0.0,0.0,0.0,3026.0,2372.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,3153.0,2680.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3158.0,2622.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.0,2559.0,1022251008.0,287309824.0,1085894656.0,65259978752.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,2342.0,1022251008.0,287309824.0,1085894656.0,65259978752.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3133.0,2650.0,1022251008.0,287309824.0,1085894656.0,65259978752.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.0,2828.0,1022251008.0,287309824.0,1085894656.0,65259978752.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3247.0,2832.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,3195.0,2689.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,2504.0,1022259200.0,287309824.0,1085894656.0,65259970560.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,2355.0,1022255104.0,287309824.0,1085898752.0,65259970560.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,3146.0,2659.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3310.0,2927.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3178.0,2736.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,544.0,5566.0,0.0,0.0,3318.0,2927.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,2693.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.503,0.075,96.946,0.476,0.0,0.0,0.0,20480.0,60.0,0.0,0.0,0.0,3046.0,2394.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.529,0.075,97.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166.0,2675.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,68.0,517.0,0.0,0.0,3202.0,2753.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136.0,2610.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3151.0,2577.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3219.0,2813.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,743.0,640.0,0.0,0.0,3255.0,2763.0,1022390272.0,287309824.0,1085898752.0,65259835392.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3209.0,2816.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.0,2798.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3122.0,2638.0,1022373888.0,287309824.0,1085898752.0,65259851776.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3058.0,2413.0,1022373888.0,287309824.0,1085898752.0,65259851776.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.0,2672.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3092.0,2494.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202.0,2780.0,1022382080.0,287309824.0,1085898752.0,65259843584.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,3062.0,2478.0,1022377984.0,287309824.0,1085898752.0,65259847680.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049.0,2443.0,1022251008.0,287309824.0,1085898752.0,65259974656.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,2343.0,1022251008.0,287309824.0,1085898752.0,65259974656.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3132.0,2663.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,2362.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,2541.0,1022251008.0,287309824.0,1085898752.0,65259974656.0
2.502,0.075,97.398,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3212.0,2725.0,1022251008.0,287309824.0,1085898752.0,65259974656.0
2.529,0.025,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3061.0,2519.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,2373.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.0,2431.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,867.0,641.0,0.0,0.0,3023.0,2354.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029.0,2462.0,1022259200.0,287309824.0,1085898752.0,65259966464.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,3098.0,2512.0,1022246912.0,287309824.0,1085902848.0,65259974656.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019.0,2433.0,1022246912.0,287309824.0,1085902848.0,65259974656.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,1018.0,5220.0,0.0,0.0,3019.0,2361.0,1022255104.0,287309824.0,1085902848.0,65259966464.0
2.504,0.025,97.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.0,2416.0,1022255104.0,287309824.0,1085902848.0,65259966464.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.0,2359.0,1022251008.0,287309824.0,1085902848.0,65259970560.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,2442.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3037.0,2380.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,2425.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,404.0,1328.0,0.0,0.0,3218.0,2737.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.075,97.397,0.0,0.0,0.025,0.0,12288.0,0.0,0.0,0.0,0.0,3083.0,2551.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.526,0.075,97.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,2396.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3092.0,2581.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,272.0,1742.0,0.0,0.0,3328.0,3002.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3427.0,3181.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.503,0.050,96.971,0.476,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3159.0,2619.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3137.0,2666.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.0,2710.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3101.0,2601.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,2361.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3134.0,2666.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.529,0.050,97.421,0.0,0.0,0.0,0.0,0.0,68.0,517.0,0.0,0.0,3142.0,2560.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,2447.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3081.0,2472.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.0,2815.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.528,0.050,97.397,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,3121.0,2583.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.0,2535.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,683.0,574.0,0.0,0.0,3112.0,2534.0,1022377984.0,287309824.0,1085902848.0,65259843584.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3126.0,2630.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.528,0.025,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3072.0,2454.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
2.502,0.075,97.398,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,2542.0,1022369792.0,287309824.0,1085902848.0,65259851776.0
