"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_is_A.csv",,,,"Date:","07 Apr 2020 23:26:52 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.748,0.096,93.140,0.015,0.000,0.001,116.780,10755.742,0.0,0.0,0.0,0.0,3763.846,2779.387,1022251008.0,287117312.0,1048035328.0,65298030592.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,2460.0,3038.0,0.0,0.0,1997.0,2155.0,1022107648.0,287117312.0,1048051712.0,65298157568.0


"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_is_A.csv",,,,"Date:","07 Apr 2020 23:42:03 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.748,0.096,93.140,0.015,0.000,0.001,116.768,10754.806,0.0,0.0,0.0,0.0,3763.670,2779.327,1016778752.0,287117312.0,1048104960.0,65303433216.0
2.500,0.050,97.450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.0,2698.0,1033691136.0,287117312.0,1048104960.0,65286520832.0
2.501,0.050,97.424,0.0,0.0,0.025,0.0,0.0,19646.0,7912.0,0.0,0.0,3041.0,2427.0,1048616960.0,287117312.0,1048121344.0,65271578624.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3048.0,2520.0,1084329984.0,287117312.0,1048121344.0,65235865600.0
1.627,0.050,98.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2733.0,2372.0,1015189504.0,287117312.0,1048121344.0,65305006080.0
0.025,0.075,99.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2194.0,1015152640.0,287117312.0,1048125440.0,65305038848.0
