"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_is_C_intel_O2.csv",,,,"Date:","10 Apr 2020 02:04:20 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.618,0.095,93.271,0.015,0.000,0.001,116.127,10555.401,0.0,0.0,0.0,0.0,3730.550,2768.011,1028767744.0,287309824.0,1084870656.0,65254486016.0
2.499,0.075,97.426,0.0,0.0,0.0,0.0,0.0,103896.0,44458.0,0.0,0.0,3058.0,2415.0,1060806656.0,287309824.0,1084944384.0,65222373376.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084.0,2546.0,1092280320.0,287309824.0,1084944384.0,65190899712.0
2.478,0.050,97.472,0.0,0.0,0.0,0.0,0.0,743.0,574.0,0.0,0.0,3204.0,2692.0,1121640448.0,287309824.0,1084944384.0,65161539584.0
2.501,0.100,97.374,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3197.0,2794.0,1152589824.0,287309824.0,1084944384.0,65130590208.0
2.477,0.075,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3076.0,2523.0,1184124928.0,287309824.0,1084944384.0,65099055104.0
2.502,0.075,96.948,0.475,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,3056.0,2465.0,1215590400.0,287309824.0,1084944384.0,65067589632.0
2.478,0.075,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3062.0,2415.0,1246048256.0,287309824.0,1084944384.0,65037131776.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,2456.0,1275011072.0,287309824.0,1084944384.0,65008168960.0
2.477,0.100,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,2376.0,1306595328.0,287309824.0,1084944384.0,64976584704.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3027.0,2441.0,1337511936.0,287309824.0,1084944384.0,64945668096.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,3066.0,2452.0,1368969216.0,287309824.0,1084944384.0,64914210816.0
2.477,0.075,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3187.0,2767.0,1400426496.0,287309824.0,1084944384.0,64882753536.0
2.501,0.100,97.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3036.0,2396.0,1429381120.0,287309824.0,1084944384.0,64853798912.0
2.477,0.075,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038.0,2461.0,1460244480.0,287309824.0,1084944384.0,64822935552.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,2481.0,1491820544.0,287309824.0,1084944384.0,64791359488.0
2.501,0.100,97.374,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,2500.0,1523007488.0,287309824.0,1084944384.0,64760172544.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3053.0,2457.0,1552494592.0,287309824.0,1084944384.0,64730685440.0
2.177,0.375,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,2511.0,2098642944.0,287309824.0,1084944384.0,64184537088.0
2.502,0.075,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068.0,2462.0,2098294784.0,287309824.0,1084944384.0,64184885248.0
2.478,0.075,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.0,2865.0,2131877888.0,287309824.0,1084944384.0,64151302144.0
2.526,0.050,97.399,0.0,0.0,0.025,0.0,0.0,683.0,402.0,0.0,0.0,3136.0,2588.0,2131800064.0,287309824.0,1084944384.0,64151379968.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,2489.0,2131800064.0,287309824.0,1084944384.0,64151379968.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087.0,2505.0,2131800064.0,287309824.0,1084944384.0,64151379968.0
2.526,0.075,97.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161.0,2717.0,2131673088.0,287309824.0,1084944384.0,64151506944.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,2514.0,2131673088.0,287309824.0,1084944384.0,64151506944.0
2.503,0.050,97.422,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3186.0,2758.0,2131640320.0,287309824.0,1084944384.0,64151539712.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3076.0,2444.0,2131636224.0,287309824.0,1084944384.0,64151543808.0
2.503,0.075,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.0,2610.0,2131644416.0,287309824.0,1084944384.0,64151535616.0
2.527,0.050,97.398,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3124.0,2604.0,2131644416.0,287309824.0,1084944384.0,64151535616.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3069.0,2471.0,2131644416.0,287309824.0,1084944384.0,64151535616.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3047.0,2393.0,2131513344.0,287309824.0,1084948480.0,64151662592.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,3052.0,2493.0,2131513344.0,287309824.0,1084948480.0,64151662592.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.0,2382.0,2131513344.0,287309824.0,1084948480.0,64151662592.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060.0,2518.0,2131505152.0,287309824.0,1084948480.0,64151670784.0
2.526,0.050,97.424,0.0,0.0,0.0,0.0,0.0,338.0,5170.0,0.0,0.0,3038.0,2388.0,2131505152.0,287309824.0,1084948480.0,64151670784.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084.0,2565.0,2131505152.0,287309824.0,1084948480.0,64151670784.0
2.527,0.050,97.373,0.050,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,3139.0,2568.0,2131464192.0,287309824.0,1084948480.0,64151711744.0
2.502,0.050,97.423,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3081.0,2547.0,2131218432.0,287309824.0,1084948480.0,64151957504.0
2.503,0.025,97.447,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3116.0,2538.0,2131218432.0,287309824.0,1084948480.0,64151957504.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,2545.0,2131218432.0,287309824.0,1084948480.0,64151957504.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,3131.0,2618.0,2131218432.0,287309824.0,1084948480.0,64151957504.0
