"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_A.csv",,,,"Date:","07 Apr 2020 23:26:51 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.098,0.299,86.577,0.022,0.000,0.004,169.979,16740.139,0.0,0.0,30.738,1594.736,7466.187,4028.042,1043267584.0,239509504.0,185307136.0,66186149888.0
0.0,0.083,99.917,0.0,0.0,0.0,0.0,0.0,2682.0,3236.0,0.0,0.0,2038.0,2213.0,1043107840.0,239509504.0,185307136.0,66186309632.0


"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_A.csv",,,,"Date:","07 Apr 2020 23:49:39 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.096,0.299,86.578,0.022,0.000,0.004,169.953,16737.753,0.0,0.0,30.734,1594.490,7465.835,4037.703,1047535616.0,239509504.0,457068544.0,65910120448.0
2.083,0.083,97.833,0.0,0.0,0.0,0.0,0.0,30312.0,15724.0,0.0,0.0,3105.0,2532.0,1047785472.0,239509504.0,457072640.0,65909866496.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,2606.0,1047547904.0,239509504.0,457072640.0,65910104064.0
2.106,0.083,97.811,0.0,0.0,0.0,0.0,0.0,683.0,641.0,0.0,0.0,3087.0,2538.0,1047920640.0,239509504.0,457072640.0,65909731328.0
2.086,0.042,97.455,0.417,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,3151.0,2680.0,1047830528.0,239509504.0,457072640.0,65909821440.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.0,2667.0,1047830528.0,239509504.0,457072640.0,65909821440.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,2581.0,1048723456.0,239509504.0,457072640.0,65908928512.0
2.086,0.063,97.852,0.0,0.0,0.0,0.0,0.0,332.0,256.0,0.0,0.0,3131.0,2618.0,1048584192.0,239509504.0,457072640.0,65909067776.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,2404.0,1048457216.0,239509504.0,457072640.0,65909194752.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3157.0,2681.0,1048313856.0,239509504.0,457072640.0,65909338112.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,3155.0,2677.0,1048186880.0,239509504.0,457072640.0,65909465088.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3082.0,2538.0,1048059904.0,239509504.0,457072640.0,65909592064.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.0,2665.0,1048059904.0,239509504.0,457072640.0,65909592064.0
2.086,0.083,97.831,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3075.0,2518.0,1047908352.0,239509504.0,457072640.0,65909743616.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,2588.0,1047781376.0,239509504.0,457072640.0,65909870592.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3174.0,2733.0,1047748608.0,239509504.0,457072640.0,65909903360.0
2.105,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3056.0,2486.0,1047367680.0,239509504.0,457072640.0,65910284288.0
2.086,0.063,97.852,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3082.0,2554.0,1047367680.0,239509504.0,457072640.0,65910284288.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034.0,2458.0,1047367680.0,239509504.0,457072640.0,65910284288.0
