"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-3.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_A_O3.csv",,,,"Date:","08 Apr 2020 20:42:45 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.404,0.583,86.985,0.025,0.000,0.003,907.989,31562.593,0.0,0.0,530.719,8016.042,7302.406,4279.401,1021263872.0,137486336.0,812863488.0,65680633856.0
2.083,0.021,97.729,0.146,0.0,0.021,0.0,20480.0,28316.0,11468.0,0.0,0.0,3116.0,2584.0,1021612032.0,137486336.0,812888064.0,65680261120.0
2.085,0.042,97.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,2425.0,1021677568.0,137486336.0,812888064.0,65680195584.0
2.106,0.021,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,2403.0,1021665280.0,137486336.0,812888064.0,65680207872.0
2.085,0.042,97.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3007.0,2403.0,1021444096.0,137486336.0,812888064.0,65680429056.0
2.086,0.021,97.894,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3033.0,2425.0,1021317120.0,137486336.0,812888064.0,65680556032.0
2.086,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3010.0,2407.0,1021317120.0,137486336.0,812888064.0,65680556032.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3008.0,2390.0,1021296640.0,137486336.0,812888064.0,65680576512.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.0,2442.0,1021050880.0,137486336.0,812888064.0,65680822272.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3009.0,2393.0,1021050880.0,137486336.0,812888064.0,65680822272.0
2.085,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3007.0,2414.0,1020923904.0,137486336.0,812888064.0,65680949248.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,0.0,683.0,571.0,0.0,0.0,3096.0,2531.0,1020915712.0,137486336.0,812888064.0,65680957440.0
2.085,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004.0,2404.0,1020915712.0,137486336.0,812888064.0,65680957440.0
2.105,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3058.0,2445.0,1020915712.0,137486336.0,812888064.0,65680957440.0
2.086,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,2403.0,1020780544.0,137486336.0,812888064.0,65681092608.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3036.0,2421.0,1020637184.0,137486336.0,812888064.0,65681235968.0
2.086,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,2411.0,1020637184.0,137486336.0,812888064.0,65681235968.0
2.106,0.021,97.852,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,2402.0,1020637184.0,137486336.0,812888064.0,65681235968.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,2430.0,1020518400.0,137486336.0,812888064.0,65681354752.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3032.0,2439.0,1020518400.0,137486336.0,812888064.0,65681354752.0
1.814,0.021,98.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.0,2591.0,1020145664.0,137486336.0,812888064.0,65681727488.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,496.0,1708.0,0.0,0.0,1991.0,2151.0,1019760640.0,137486336.0,812892160.0,65682108416.0
