"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_A_intel.csv",,,,"Date:","10 Apr 2020 02:27:56 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.959,0.311,86.705,0.022,0.000,0.004,166.531,16434.957,0.0,0.0,30.113,1562.317,7423.725,4036.270,1045729280.0,239726592.0,688816128.0,65679962112.0
2.105,0.042,97.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349.0,3196.0,1045479424.0,239726592.0,688820224.0,65680207872.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,1016.0,976.0,0.0,0.0,3080.0,2552.0,1045893120.0,239726592.0,689016832.0,65679597568.0
2.086,0.042,97.830,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.0,3059.0,1045893120.0,239726592.0,689016832.0,65679597568.0
2.107,0.063,97.413,0.417,0.0,0.0,0.0,16384.0,180.0,0.0,0.0,0.0,3552.0,3517.0,1045872640.0,239726592.0,689016832.0,65679618048.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3464.0,3428.0,1045872640.0,239726592.0,689016832.0,65679618048.0
2.087,0.063,97.851,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3548.0,3535.0,1047273472.0,239726592.0,689016832.0,65678217216.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3217.0,2879.0,1047273472.0,239726592.0,689016832.0,65678217216.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044.0,2445.0,1046827008.0,239726592.0,689016832.0,65678663680.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661.0,3819.0,1046802432.0,239726592.0,689016832.0,65678688256.0
0.751,0.063,99.187,0.0,0.0,0.0,0.0,0.0,1911.0,3440.0,0.0,0.0,2631.0,2810.0,1045549056.0,239726592.0,689016832.0,65679941632.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.0,2125.0,1045549056.0,239726592.0,689016832.0,65679941632.0
