"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-3.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_C_O3.csv",,,,"Date:","08 Apr 2020 20:38:36 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.404,0.583,86.985,0.025,0.000,0.003,908.014,31563.450,0.0,0.0,530.734,8016.265,7302.524,4279.449,1038929920.0,137486336.0,812810240.0,65663021056.0
2.084,0.042,97.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0,3152.0,1038667776.0,137486336.0,812818432.0,65663275008.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,26331.0,12104.0,0.0,0.0,3249.0,2859.0,1038798848.0,137486336.0,812822528.0,65663139840.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283.0,3017.0,1038790656.0,137486336.0,812822528.0,65663148032.0
2.107,0.042,97.455,0.396,0.0,0.0,0.0,12288.0,60.0,0.0,0.0,0.0,3237.0,2864.0,1038663680.0,137486336.0,812822528.0,65663275008.0
2.088,0.042,97.870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886.0,4264.0,1038663680.0,137486336.0,812822528.0,65663275008.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,3404.0,3221.0,1038536704.0,137486336.0,812822528.0,65663401984.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2971.0,2430.0,1038340096.0,137486336.0,812822528.0,65663598592.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,3003.0,2453.0,1038323712.0,137486336.0,812822528.0,65663614976.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020.0,2412.0,1038196736.0,137486336.0,812822528.0,65663741952.0
2.085,0.042,97.852,0.0,0.0,0.021,0.0,20480.0,180.0,0.0,0.0,0.0,2977.0,2375.0,1038106624.0,137486336.0,812822528.0,65663832064.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2957.0,2388.0,1038098432.0,137486336.0,812822528.0,65663840256.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,2957.0,2372.0,1037963264.0,137486336.0,812822528.0,65663975424.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2938.0,2386.0,1037836288.0,137486336.0,812822528.0,65664102400.0
2.128,0.083,97.788,0.0,0.0,0.0,0.0,0.0,68.0,524.0,0.0,0.0,3253.0,2963.0,1037836288.0,137486336.0,812822528.0,65664102400.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3249.0,2922.0,1037828096.0,137486336.0,812822528.0,65664110592.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3162.0,2660.0,1037819904.0,137486336.0,812822528.0,65664118784.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.0,2563.0,1037684736.0,137486336.0,812822528.0,65664253952.0
2.086,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.0,2864.0,1037684736.0,137486336.0,812822528.0,65664253952.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125.0,2656.0,1037684736.0,137486336.0,812822528.0,65664253952.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3243.0,2885.0,1037557760.0,137486336.0,812822528.0,65664380928.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3278.0,2875.0,1037557760.0,137486336.0,812822528.0,65664380928.0
2.106,0.063,97.831,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3134.0,2640.0,1037557760.0,137486336.0,812822528.0,65664380928.0
2.088,0.042,97.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189.0,2764.0,1037430784.0,137486336.0,812822528.0,65664507904.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.0,2671.0,1037422592.0,137486336.0,812822528.0,65664516096.0
