"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_ep_C_intel.csv",,,,"Date:","10 Apr 2020 02:25:24 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.959,0.311,86.705,0.022,0.000,0.004,166.533,16435.219,0.0,0.0,30.114,1562.343,7423.795,4036.287,5990023168.0,239726592.0,687820800.0,60736663552.0
4.185,0.042,95.773,0.0,0.0,0.0,0.0,0.0,907810.0,9848.0,0.0,0.0,3241.0,2761.0,5990518784.0,239726592.0,687824896.0,60736163840.0
4.169,0.021,95.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.0,2960.0,5990248448.0,239726592.0,687841280.0,60736417792.0
4.171,0.021,95.808,0.0,0.0,0.0,0.0,0.0,773.0,707.0,0.0,0.0,3575.0,3495.0,5990301696.0,239726592.0,688021504.0,60736184320.0
3.712,0.271,95.600,0.417,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3472.0,3152.0,1049792512.0,239726592.0,688128000.0,65676587008.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,2248.0,113089.0,0.0,0.0,3049.0,2446.0,1048899584.0,239726592.0,688132096.0,65677475840.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.0,2396.0,1049034752.0,239726592.0,688132096.0,65677340672.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2993.0,2377.0,1048756224.0,239726592.0,688132096.0,65677619200.0
2.107,0.021,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,2376.0,1049554944.0,239726592.0,688132096.0,65676820480.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,3051.0,2483.0,1049554944.0,239726592.0,688132096.0,65676820480.0
2.107,0.083,97.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0,2460.0,1048920064.0,239726592.0,688132096.0,65677455360.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,188.0,530.0,0.0,0.0,2969.0,2392.0,1048768512.0,239726592.0,688132096.0,65677606912.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2987.0,2402.0,1048641536.0,239726592.0,688132096.0,65677733888.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0,2408.0,1048489984.0,239726592.0,688132096.0,65677885440.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,2448.0,1048498176.0,239726592.0,688132096.0,65677877248.0
2.106,0.083,97.790,0.021,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3021.0,2423.0,1048371200.0,239726592.0,688132096.0,65678004224.0
2.086,0.042,97.477,0.396,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3022.0,2431.0,1047990272.0,239726592.0,688132096.0,65678385152.0
2.126,0.063,97.811,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,3019.0,2429.0,1047855104.0,239726592.0,688132096.0,65678520320.0
2.086,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,2413.0,1047728128.0,239726592.0,688132096.0,65678647296.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,2420.0,1047715840.0,239726592.0,688132096.0,65678659584.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,2452.0,1047588864.0,239726592.0,688132096.0,65678786560.0
2.106,0.083,97.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,2537.0,1047326720.0,239726592.0,688132096.0,65679048704.0
2.105,0.042,97.832,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3027.0,2442.0,1047199744.0,239726592.0,688132096.0,65679175680.0
2.106,0.063,97.831,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,3027.0,2428.0,1047191552.0,239726592.0,688132096.0,65679183872.0
2.126,0.063,97.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094.0,2562.0,1047080960.0,239726592.0,688132096.0,65679294464.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3294.0,3063.0,1047080960.0,239726592.0,688132096.0,65679294464.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440.0,3379.0,1047080960.0,239726592.0,688132096.0,65679294464.0
2.108,0.042,97.851,0.0,0.0,0.0,0.0,16384.0,60.0,0.0,0.0,0.0,3480.0,3393.0,1046953984.0,239726592.0,688132096.0,65679421440.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.0,3377.0,1046827008.0,239726592.0,688132096.0,65679548416.0
2.087,0.063,97.850,0.0,0.0,0.0,0.0,0.0,683.0,640.0,0.0,0.0,3454.0,3375.0,1046827008.0,239726592.0,688132096.0,65679548416.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3462.0,3392.0,1046831104.0,239726592.0,688136192.0,65679540224.0
2.087,0.063,97.850,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,3449.0,3381.0,1046831104.0,239726592.0,688136192.0,65679540224.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,3452.0,3385.0,1046831104.0,239726592.0,688136192.0,65679540224.0
2.088,0.042,97.871,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3512.0,3510.0,1046949888.0,239726592.0,688136192.0,65679421440.0
2.107,0.063,97.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3407.0,3286.0,1046769664.0,239726592.0,688136192.0,65679601664.0
2.087,0.021,97.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3226.0,2915.0,1046642688.0,239726592.0,688136192.0,65679728640.0
2.087,0.063,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.0,3464.0,1046642688.0,239726592.0,688136192.0,65679728640.0
2.105,0.042,97.853,0.0,0.0,0.0,0.0,0.0,478.0,5670.0,0.0,0.0,3532.0,3525.0,1046650880.0,239726592.0,688136192.0,65679720448.0
2.087,0.042,97.475,0.396,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,3510.0,3485.0,1046650880.0,239726592.0,688136192.0,65679720448.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3681.0,3823.0,1046650880.0,239726592.0,688136192.0,65679720448.0
2.107,0.063,97.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.0,4049.0,1046523904.0,239726592.0,688136192.0,65679847424.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,3731.0,3951.0,1046515712.0,239726592.0,688136192.0,65679855616.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3343.0,3165.0,1046515712.0,239726592.0,688136192.0,65679855616.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3452.0,3368.0,1046515712.0,239726592.0,688136192.0,65679855616.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3426.0,3310.0,1046523904.0,239726592.0,688136192.0,65679847424.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,3112.0,2533.0,1046523904.0,239726592.0,688136192.0,65679847424.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,2434.0,1046495232.0,239726592.0,688136192.0,65679876096.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,1019.0,575.0,0.0,0.0,3022.0,2425.0,1046495232.0,239726592.0,688136192.0,65679876096.0
2.105,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.0,2430.0,1046495232.0,239726592.0,688136192.0,65679876096.0
2.127,0.063,97.811,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3029.0,2426.0,1046495232.0,239726592.0,688136192.0,65679876096.0
2.086,0.063,97.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3037.0,2439.0,1046503424.0,239726592.0,688136192.0,65679867904.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,3025.0,2428.0,1046487040.0,239726592.0,688136192.0,65679884288.0
2.105,0.063,97.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049.0,2461.0,1046310912.0,239726592.0,688136192.0,65680060416.0
