"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_C.csv",,,,"Date:","07 Apr 2020 23:26:45 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.098,0.299,86.577,0.022,0.000,0.004,169.979,16740.120,0.0,0.0,30.738,1594.737,7466.191,4028.043,1044647936.0,239509504.0,185155584.0,66184921088.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,170322.0,66072.0,0.0,0.0,2020.0,2183.0,1044975616.0,239509504.0,185167872.0,66184581120.0


"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_C.csv",,,,"Date:","07 Apr 2020 23:41:04 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.097,0.299,86.578,0.022,0.000,0.004,169.963,16738.677,0.0,0.0,30.735,1594.583,7466.090,4037.789,1052819456.0,239509504.0,449966080.0,65911939072.0
2.083,0.042,97.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3255.0,2851.0,1066897408.0,239509504.0,449978368.0,65897848832.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,34411.0,15896.0,0.0,0.0,3066.0,2511.0,1082404864.0,239509504.0,450002944.0,65882316800.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.0,2392.0,1098928128.0,239509504.0,450002944.0,65865793536.0
2.065,0.042,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3126.0,2613.0,1113624576.0,239509504.0,450002944.0,65851097088.0
2.084,0.063,97.832,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3088.0,2577.0,1130332160.0,239509504.0,450002944.0,65834389504.0
2.085,0.042,97.436,0.417,0.0,0.021,0.0,65536.0,120.0,0.0,0.0,0.0,3161.0,2628.0,1144758272.0,239509504.0,450002944.0,65819963392.0
2.084,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3117.0,2577.0,1161535488.0,239509504.0,450002944.0,65803186176.0
2.065,0.042,97.893,0.0,0.0,0.0,0.0,0.0,182.0,256.0,0.0,0.0,3060.0,2465.0,1177784320.0,239509504.0,450002944.0,65786937344.0
2.105,0.104,97.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3051.0,2422.0,1192345600.0,239509504.0,450002944.0,65772376064.0
2.085,0.063,97.852,0.0,0.0,0.0,0.0,0.0,158.0,436.0,0.0,0.0,3131.0,2622.0,1208946688.0,239509504.0,450002944.0,65755774976.0
2.085,0.021,97.873,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,2576.0,1223385088.0,239509504.0,450002944.0,65741336576.0
2.085,0.063,97.436,0.417,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3055.0,2491.0,1240289280.0,239509504.0,450002944.0,65724432384.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,2402.0,1257066496.0,239509504.0,450002944.0,65707655168.0
2.085,0.063,97.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044.0,2450.0,1271398400.0,239509504.0,450002944.0,65693323264.0
2.064,0.042,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,2391.0,1288011776.0,239509504.0,450002944.0,65676709888.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3069.0,2520.0,1304788992.0,239509504.0,450002944.0,65659932672.0
2.064,0.063,97.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2402.0,1319469056.0,239509504.0,450002944.0,65645252608.0
2.085,0.042,97.852,0.0,0.0,0.021,0.0,0.0,60.0,0.0,0.0,0.0,3144.0,2618.0,1336246272.0,239509504.0,450002944.0,65628475392.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3097.0,2540.0,1350926336.0,239509504.0,450002944.0,65613795328.0
2.085,0.021,97.873,0.0,0.0,0.021,0.0,0.0,302.0,256.0,0.0,0.0,3152.0,2657.0,1367703552.0,239509504.0,450002944.0,65597018112.0
2.065,0.042,97.873,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3223.0,2737.0,1384480768.0,239509504.0,450002944.0,65580240896.0
2.085,0.042,97.832,0.0,0.0,0.042,0.0,0.0,803.0,640.0,0.0,0.0,3255.0,2855.0,1399033856.0,239509504.0,450002944.0,65565687808.0
2.064,0.042,97.873,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3153.0,2651.0,1415811072.0,239509504.0,450002944.0,65548910592.0
2.085,0.063,97.832,0.0,0.0,0.021,0.0,0.0,180.0,0.0,0.0,0.0,3166.0,2684.0,1430622208.0,239509504.0,450007040.0,65534095360.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3142.0,2639.0,1447399424.0,239509504.0,450007040.0,65517318144.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,3129.0,2624.0,1464041472.0,239509504.0,450007040.0,65500676096.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3133.0,2619.0,1478721536.0,239509504.0,450007040.0,65485996032.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,3071.0,2518.0,1495498752.0,239509504.0,450007040.0,65469218816.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3165.0,2722.0,1510187008.0,239509504.0,450007040.0,65454530560.0
2.064,0.063,97.852,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3158.0,2627.0,1526939648.0,239509504.0,450007040.0,65437777920.0
2.085,0.021,97.873,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3145.0,2650.0,1543589888.0,239509504.0,450007040.0,65421127680.0
2.085,0.042,97.852,0.0,0.0,0.021,0.0,0.0,0.0,12524.0,0.0,0.0,3186.0,2724.0,1558405120.0,239509504.0,450007040.0,65406312448.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3150.0,2638.0,1575190528.0,239509504.0,450007040.0,65389527040.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,338.0,5598.0,0.0,0.0,3193.0,2726.0,1583505408.0,239509504.0,450007040.0,65381212160.0
1.793,0.313,97.852,0.0,0.0,0.042,0.0,20480.0,0.0,0.0,0.0,0.0,3191.0,2722.0,2121519104.0,239509504.0,450007040.0,64843198464.0
2.085,0.042,97.853,0.0,0.0,0.021,0.0,0.0,242.0,256.0,0.0,0.0,3231.0,2814.0,2154627072.0,239509504.0,450007040.0,64810090496.0
2.086,0.021,97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3064.0,2488.0,2154577920.0,239509504.0,450007040.0,64810139648.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.0,2442.0,2154577920.0,239509504.0,450007040.0,64810139648.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,2394.0,2154577920.0,239509504.0,450007040.0,64810139648.0
