"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-3.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_C_O3.csv",,,,"Date:","08 Apr 2020 20:37:55 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.404,0.583,86.985,0.025,0.000,0.003,908.018,31563.528,0.0,0.0,530.736,8016.303,7302.544,4279.457,1031479296.0,137469952.0,812404736.0,65670893568.0
2.084,0.063,97.853,0.0,0.0,0.0,0.0,0.0,171120.0,52980.0,0.0,0.0,3266.0,2916.0,1062862848.0,137469952.0,812716032.0,65639198720.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390.0,3254.0,1098956800.0,137469952.0,812756992.0,65603063808.0
2.066,0.042,97.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.0,2411.0,1134608384.0,137469952.0,812756992.0,65567412224.0
2.085,0.063,97.832,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,2998.0,2402.0,1167917056.0,137469952.0,812756992.0,65534103552.0
2.064,0.083,97.435,0.417,0.0,0.0,0.0,270336.0,0.0,0.0,0.0,0.0,3012.0,2450.0,1203687424.0,137478144.0,812748800.0,65498333184.0
2.065,0.063,97.851,0.021,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,3060.0,2484.0,1239179264.0,137478144.0,812748800.0,65462841344.0
2.106,0.042,97.832,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,2434.0,1274343424.0,137478144.0,812756992.0,65427668992.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,2416.0,1309655040.0,137478144.0,812756992.0,65392357376.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3011.0,2371.0,1345155072.0,137478144.0,812756992.0,65356857344.0
