"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_C_intel.csv",,,,"Date:","10 Apr 2020 02:24:35 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
12.959,0.311,86.705,0.022,0.000,0.004,166.534,16435.292,0.0,0.0,30.114,1562.352,7423.817,4036.294,5936922624.0,239726592.0,687005696.0,60790579200.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,104378.0,44442.0,0.0,0.0,4387.0,3322.0,5968449536.0,239726592.0,687079424.0,60758978560.0
4.153,0.042,95.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4336.0,3208.0,5997928448.0,239726592.0,687079424.0,60729499648.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3890.0,2650.0,6027976704.0,239726592.0,687079424.0,60699451392.0
4.149,0.042,95.392,0.417,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,3127.0,2553.0,6057472000.0,239726592.0,687079424.0,60669956096.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,743.0,641.0,0.0,0.0,3232.0,2826.0,6087340032.0,239726592.0,687079424.0,60640088064.0
4.148,0.063,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034.0,2403.0,6119178240.0,239726592.0,687079424.0,60608249856.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3056.0,2457.0,6148059136.0,239726592.0,687079424.0,60579368960.0
4.148,0.042,95.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043.0,2418.0,6177751040.0,239726592.0,687079424.0,60549677056.0
4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3098.0,2568.0,6206967808.0,239726592.0,687079424.0,60520460288.0
4.147,0.063,95.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,2425.0,6236459008.0,239726592.0,687079424.0,60490969088.0
4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.0,2454.0,6268420096.0,239726592.0,687079424.0,60459008000.0
4.148,0.042,95.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,2401.0,6298144768.0,239726592.0,687079424.0,60429283328.0
4.188,0.104,95.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,2522.0,6327496704.0,239726592.0,687079424.0,60399931392.0
4.149,0.042,95.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3175.0,2700.0,6357221376.0,239726592.0,687079424.0,60370206720.0
4.168,0.042,95.791,0.0,0.0,0.0,0.0,0.0,128.0,482.0,0.0,0.0,3043.0,2446.0,6387089408.0,239726592.0,687079424.0,60340338688.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,2404.0,6417084416.0,239726592.0,687079424.0,60310343680.0
4.148,0.063,95.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060.0,2452.0,6449934336.0,239726592.0,687079424.0,60277493760.0
4.148,0.063,95.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3226.0,2769.0,6479237120.0,239726592.0,687079424.0,60248190976.0
3.918,0.313,95.769,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,3081.0,2507.0,7019143168.0,239726592.0,687079424.0,59708284928.0
4.148,0.063,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049.0,2446.0,7054655488.0,239726592.0,687079424.0,59672772608.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094.0,2554.0,7056297984.0,239726592.0,687079424.0,59671130112.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034.0,2446.0,7058194432.0,239726592.0,687079424.0,59669233664.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3204.0,2719.0,7059980288.0,239726592.0,687079424.0,59667447808.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,2692.0,7061757952.0,239726592.0,687079424.0,59665670144.0
